term_id,term,normalized,category,language,status
EN03000,Abnormality of Central Motor Conduction,abnormality of central motor conduction,symptom,english,active
EN03001,Abnormality of Central Motor Function,abnormality of central motor function,symptom,english,active
EN03002,Abnormality of Central Nervous System Electrophysiology,abnormality of central nervous system electrophysiology,symptom,english,active
EN03003,Abnormality of Central Retinal Artery,abnormality of central retinal artery,symptom,english,active
EN03004,Abnormality of Central Sensory Function,abnormality of central sensory function,symptom,english,active
EN03005,Abnormality of Cerebral Artery,abnormality of cerebral artery,symptom,english,active
EN03006,Abnormality of Cerebral Veins,abnormality of cerebral veins,symptom,english,active
EN03007,Abnormality of Cerebrosidase Metabolism,abnormality of cerebrosidase metabolism,symptom,english,active
EN03008,Abnormality of Cervical Musculature,abnormality of cervical musculature,symptom,english,active
EN03009,Abnormality of Cervical Plexus,abnormality of cervical plexus,symptom,english,active
EN03010,Abnormality of Cervical Vertebra,abnormality of cervical vertebra,symptom,english,active
EN03011,Abnormality of Cheek Mucosa,abnormality of cheek mucosa,symptom,english,active
EN03012,Abnormality of Chemokine Secretion,abnormality of chemokine secretion,symptom,english,active
EN03013,Abnormality of Chloride Homeostasis,abnormality of chloride homeostasis,symptom,english,active
EN03014,Abnormality of Cholesterol Metabolism,abnormality of cholesterol metabolism,symptom,english,active
EN03015,Abnormality of Chorioretinal Pigmentation,abnormality of chorioretinal pigmentation,symptom,english,active
EN03016,Abnormality of Chromosome Condensation,abnormality of chromosome condensation,symptom,english,active
EN03017,Abnormality of Chromosome Segregation,abnormality of chromosome segregation,symptom,english,active
EN03018,Abnormality of Chromosome Stability,abnormality of chromosome stability,symptom,english,active
EN03019,Abnormality of Ciliary Ganglion,abnormality of ciliary ganglion,symptom,english,active
EN03020,Abnormality of Circulating B2M Level,abnormality of circulating b2m level,symptom,english,active
EN03021,Abnormality of Circulating Beta-2-microglobulin Level,abnormality of circulating beta-2-microglobulin level,symptom,english,active
EN03022,Abnormality of Circulating Beta2 Microglobulin Level,abnormality of circulating beta2 microglobulin level,symptom,english,active
EN03023,Abnormality of Circulating Beta2-m Level,abnormality of circulating beta2-m level,symptom,english,active
EN03024,Abnormality of Circulating Beta2m Level,abnormality of circulating beta2m level,symptom,english,active
EN03025,Abnormality of Circulating Catecholamine Level,abnormality of circulating catecholamine level,symptom,english,active
EN03026,Abnormality of Circulating Corticosterone Level,abnormality of circulating corticosterone level,symptom,english,active
EN03027,Abnormality of Circulating Corticotropin Level,abnormality of circulating corticotropin level,symptom,english,active
EN03028,Abnormality of Circulating Cortisol Level,abnormality of circulating cortisol level,symptom,english,active
EN03029,Abnormality of Circulating Enzyme Level,abnormality of circulating enzyme level,symptom,english,active
EN03030,Abnormality of Circulating Fibrinogen,abnormality of circulating fibrinogen,symptom,english,active
EN03031,Abnormality of Circulating Glucocorticoid Level,abnormality of circulating glucocorticoid level,symptom,english,active
EN03032,Abnormality of Circulating Hormone Level,abnormality of circulating hormone level,symptom,english,active
EN03033,Abnormality of Circulating Leptin Level,abnormality of circulating leptin level,symptom,english,active
EN03034,Abnormality of Circulating Pregnenolone Level,abnormality of circulating pregnenolone level,symptom,english,active
EN03035,Abnormality of Circulating Protein Level,abnormality of circulating protein level,symptom,english,active
EN03036,Abnormality of Citric Acid Cycle,abnormality of citric acid cycle,symptom,english,active
EN03037,Abnormality of CNS Electrophysiology,abnormality of cns electrophysiology,symptom,english,active
EN03038,Abnormality of Coagulation,abnormality of coagulation,symptom,english,active
EN03039,Abnormality of Cochlea,abnormality of cochlea,symptom,english,active
EN03040,Abnormality of Cognition,abnormality of cognition,symptom,english,active
EN03041,Abnormality of Color Vision,abnormality of color vision,symptom,english,active
EN03042,Abnormality of Colour Vision,abnormality of colour vision,symptom,english,active
EN03043,Abnormality of Complement System,abnormality of complement system,symptom,english,active
EN03044,Abnormality of Connective Tissue,abnormality of connective tissue,symptom,english,active
EN03045,Abnormality of Coordination,abnormality of coordination,symptom,english,active
EN03046,Abnormality of Corneal Endothelium,abnormality of corneal endothelium,symptom,english,active
